x,y,dyabove,dybelow
1.327584317765295,0.034737655190660265,0,0
2.38300982022414,0.05135843965521809,0,0
4.200007435759855, 0.1433397153646192,0.22253804763482102,0.0865021526219125
7.4704030192635, 0.16597618691545077,0.2662161891444586,0.0938435165674273
13.287338683038486, 0.3809735630147666,0.554154275958885,0.2375232682429836
23.633714114553516, 0.6629196270561579,0.9333526890007566,0.42699534601731975
42.036442072591086, 0.8327554452165113,1.1917299624176003,0.51919296821995
75.45528590974028, 0.7930326463255171,1.231200553001217,0.4483834317863312
132.98844142341247, 0.8327554452165113,1.4256340093568818,0.42699534601731975
238.71384864032586, 2.1423717828821283,3.219449610464914,1.2928710683172702
